
===== OGF Published Documents =====

OGF documents are developed according to an [[http://redmine.ogf.org/projects/editor/wiki/About_OGF_Documents|open public process as described at this link]].

<sortable>
^ GFD  ^ Type  ^ Area  ^ Group  ^ Publication ^ Title  ^ Authors ^
|<html><div class="hidden">215</div> <a href="http://www.ogf.org/documents/GFD.215.pdf">GFD.215</a></html>   |EXP             |Data                    |DFDL-WG               |2014-11-04   |Data Format Description Language (DFDL) v1.0 Experience Document 2 - Empty, Missing, Defaults, Arrays       |S.M. Hanson |
|<html><div class="hidden">214</div> <a href="http://www.ogf.org/documents/GFD.214.pdf">GFD.214</a></html>   |EXP             |Data                    |DFDL-WG               |2014-11-04   |Data Format Description Language (DFDL) v1.0 Experience Document 1 - Errata for DFDL v1.0 Specification GFD.174       |S.M. Hanson |
|<html><div class="hidden">213</div> <a href="http://www.ogf.org/documents/GFD.213.pdf">GFD.213</a></html>   |INFO              |Infrastructure          |NSI-WG                |2014-06-16   |Network Service Framework v2.0                         |G.    Roberts, T. Kudoh, I. Monga, J. Sobieski, C. Guok, J. MacAuley |
|<html><div class="hidden">212</div> <a href="http://www.ogf.org/documents/GFD.212.pdf">GFD.212</a></html>   |P-REC             |Infrastructure          |NSI-WG                |2014-06-16   |NSI Connection Service v2.0                         |G.    Roberts, T. Kudoh, I. Monga, J. Sobieski, J. MacAuley, C. Guok |
|<html><div class="hidden">211</div> <a href="http://www.ogf.org/documents/GFD.211.pdf">GFD.211</a></html>   |P-REC             |Applications          |SAGA-WG                |2013-11-25   |SAGA %%API%% Bindings: Python                          |A. Merzky, M. Santcroos, S. Fisher, O. Weidner |
|<html><div class="hidden">210</div> <a href="http://www.ogf.org/documents/GFD.210.pdf">GFD.210</a></html>   |INFO               |Architecture          |PGI-WG                 |2013-11-25   |European Middleware Initiative Execution Service -- Version 2.0 |M. Riedel, A. Konstantinov |
|<html><div class="hidden">209</div> <a href="http://www.ogf.org/documents/GFD.209.pdf">GFD.209</a></html>   |P-REC             |Management            |GLUE-WG                |2013-11-25   |GLUE v. 2.0 – Reference Realization to XML Schema  |S. Andreozzi, S. Burke, L. Field, B. Konya, S. Memon, D. Meredith, JP Navarro, F. Paganelli, W. Smith |
|<html><div class="hidden">208</div> <a href="http://www.ogf.org/documents/GFD.208.pdf">GFD.208</a></html>   |CP                |Infrastructure        |ISOD-WG                |2013-09-16   |On-Demand Infrastructure Services Provisioning Best Practices   |P. Brzozwski, S. Campbell, T. Coulouarn, Y. Demchenko, F. Dijkstra, M. Giertych, JAG. Espin, E. Grasa, C. Guok, J. vd. Ham, R. Krzywania, T. Kudoh, M. Lemay, A. Takefusa, A. Willner, Y. Xin     |
|<html><div class="hidden">207</div> <a href="http://www.ogf.org/documents/GFD.207.pdf">GFD.207</a></html>   |P-REC             |Data               |DFDL-WG                |2014-11-04   |OBSOLETE: Data Format Description Language (DFDL) v1.0 Specification  |M.J. Beckerle, S.M. Hanson     |
|<html><div class="hidden">206</div> <a href="http://www.ogf.org/documents/GFD.206.pdf">GFD.206</a></html>   |P-REC             |Infrastructure        |NML-WG                 |2013-06-15   |Network Markup Language Base Schema version 1        |J. vd. Ham, F. Dijkstra, R. Lapacz, J. Zurawski     |
|<html><div class="hidden">205</div> <a href="http://www.ogf.org/documents/GFD.205.pdf">GFD.205</a></html>   |CP                |Security              |OGSA-Authz-WG          |2013-06-15   |An XACML Attribute and Obligation Profile for Authorization Interoperability in Grids   |R.Ananthakrishnan, G. Garzoglio, O. Koeroo     |
|<html><div class="hidden">204</div> <a href="http://www.ogf.org/documents/GFD.204.pdf">GFD.204</a></html>   |P-REC             |Management            |UR-WG                  |2013-07-07   |Usage Record - Format Recommendation                 |A. Cristofori, J. K. Nilsen, J. Gordon, M. Jones, J. A. Kennedy, R. Müller-Pfefferkorn      |
|<html><div class="hidden">203</div> <a href="http://www.ogf.org/documents/GFD.203.pdf">GFD.203</a></html>   |P-REC             |Compute               |JSDL-WG                |2013-09-16   |Activity Instance Description Specification, Version 1.0   |P. Wieder, A. Papaspryou, A. Savva, D. Fellows, S. Memon     |
|<html><div class="hidden">202</div> <a href="http://www.ogf.org/documents/GFD.202.pdf">GFD.202</a></html>   |INFO               |Infrastructure        |NML-WG                 |2013-06-15   |URN Namespace for Network Resources                  |F. Dijkstra, J. vd. Ham     |
|<html><div class="hidden">201</div> <a href="http://www.ogf.org/documents/GFD.201.pdf">GFD.201</a></html>   |INFO              |Management            |UR-WG                  |2013-04-22   |EMI StAR – Definition of a Storage Accounting Record   |H. T. Jensen, J. K. Nilsen, P. Millar, R. Müller-Pfefferkorn, Z. Molnar, R. Salli     |
|<html><div class="hidden">200</div> <a href="http://www.ogf.org/documents/GFD.200.pdf">GFD.200</a></html>   |P-REC             |Data                  |DAIS-WG                |2013-01-10   |Web Services Data Access and Integration - The RDF(S) Realization (WS-DAIRDFS) RDF(S) Querying Specification, Version 1.0   |I. Kojima, S. M. Pahlevi, S. Lynden     |
